ID,salary_in_usd
0,72349.41990024135
1,154282.96324533608
2,119795.66577828156
3,70160.36349959532
4,52040.95788550569
5,30683.421186000858
6,111507.32762990269
7,28330.131334472106
8,54883.802145330774
9,168450.21616582858
10,34524.85003971579
11,166146.07472602982
12,70435.83125286612
13,2593.299207065109
14,74151.95782668507
15,36173.482435729
16,121334.31701799252
17,167688.2176318742
18,36979.518650607606
19,24212.460268750692
20,42828.688502501114
21,49309.72974984381
22,136585.30767856227
23,180985.66765699792
24,15960.530075333401
25,14374.138502753864
26,108822.40251329105
27,233728.54749609565
28,48419.473228495655
29,158907.13899227954
30,129327.52655040438
31,134101.28634055634
32,86480.99579178616
33,43796.24132410361
34,49836.50558985529
35,31205.383781715704
36,202779.60548358934
37,7191.687100220937
38,71076.58498063564
39,188573.7327734605
40,3898.079603701568
41,30989.483994774055
42,115090.60105381731
43,170258.72923016892
44,114175.6021958525
45,239725.3149805208
46,129918.37150075399
47,50456.08624002244
48,134101.28634055634
49,57350.02223777727
50,131797.14490075756
51,52672.73293829581
52,131726.8845650943
53,130566.5064588512
54,97444.27153032902
55,68250.15470091955
56,157965.59938924207
57,174834.56856153707
58,123682.98635447679
59,151452.0216004375
60,123682.98635447679
61,217656.20475446119
62,151452.0216004375
63,146098.82191787605
64,166719.32065848925
65,191571.91320908983
66,191571.91320908983
67,151452.0216004375
68,118329.78667191532
69,88870.65344153275
70,144668.282059345
71,159040.0867169001
72,78593.07471328322
73,60684.50813155721
74,71059.68657281247
75,125213.30677628974
76,43715.31027834282
77,73603.35438348101
78,115468.19199972952
79,154165.43367880664
80,20524.470845364725
81,32346.156291790656
82,286562.97490364785
83,199766.0049365138
84,102797.47121289048
85,74763.73248972412
86,74763.73248972412
87,157965.59938924207
88,151452.0216004375
89,176374.19577461435
90,75233.0910759698
91,44543.41129288592
92,117118.18972130769
93,49456.59555468455
94,151452.0216004375
95,178939.85906430913
96,27758.306557031778
97,81262.11817822295
98,41626.30546089621
99,124711.3106801752
100,151452.0216004375
101,123682.98635447679
102,123682.98635447679
103,191571.91320908983
104,157965.59938924207
105,32867.955501674514
106,118329.78667191532
