ID,salary_in_usd
0,152047.8992857143
1,159818.80333333334
2,159818.80333333334
3,164964.48644444445
4,13878.093333333334
5,48510.176190476195
6,314418.1431547619
7,37831.054
8,70796.9125
9,218986.58380952384
10,61185.51166666667
11,222135.6003333333
12,71208.95623809524
13,37115.04
14,67972.99416666667
15,54646.09
16,168785.3015873016
17,129856.82828282825
18,75377.386
19,94436.1275
20,222325.5568095238
21,222325.5568095238
22,141908.10204617615
23,132126.75958348683
24,13091.13
25,33573.42
26,81924.7445
27,145088.7473095238
28,45339.68266666667
29,67039.73583333334
30,71587.79883333333
31,115574.9985937951
32,77899.90849999999
33,82199.05600000001
34,36124.18
35,122935.56455535803
36,140623.15515873014
37,7564.241166666667
38,123878.80666666666
39,168785.3015873016
40,55108.935
41,25978.37
42,225155.91
43,163395.2665357143
44,75377.386
45,192085.76087301585
46,107691.82337301585
47,100970.71271428574
48,115574.9985937951
49,115845.13
50,79784.93125757575
51,56789.51
52,81607.41049386725
53,107096.24299999997
54,68077.76577344879
55,117214.22454328997
56,163399.26434586034
57,144012.82489764338
58,113356.34988962454
59,135922.36907501263
60,113356.34988962454
61,218669.21481223352
62,135922.36907501263
63,127799.9528982684
64,157179.231
65,163399.26434586034
66,163399.26434586034
67,135922.36907501263
68,109547.03468736383
69,105806.75099567097
70,81607.41049386725
71,199254.15476190473
72,62666.594000000005
73,77828.74276190478
74,48624.09513492064
75,117214.22454328997
76,77828.74276190478
77,107096.24299999997
78,90503.9578210678
79,92878.31770634919
80,18192.001333333337
81,39715.66333333333
82,97723.195
83,124394.58723015872
84,83612.29027777779
85,81607.41049386725
86,81607.41049386725
87,163399.26434586034
88,135922.36907501263
89,24822.86157936508
90,105409.12666666666
91,169858.9737142857
92,61662.40288888889
93,36285.06310714286
94,135922.36907501263
95,108853.33966666665
96,97244.3
97,157157.5044400044
98,68077.76577344879
99,127799.9528982684
100,135922.36907501263
101,113356.34988962454
102,113356.34988962454
103,163399.26434586034
104,163399.26434586034
105,72739.21992424242
106,109547.03468736383
