ID,salary_in_usd
0,81571.66148278583
1,144494.30977957975
2,111327.13586283941
3,76816.46577791125
4,44559.35021162126
5,37183.88320720568
6,169653.57788255997
7,30610.757750009187
8,113299.27708530892
9,162961.26998889074
10,-2511.8936724383384
11,162906.02054046
12,129969.07093019504
13,5862.578621670604
14,75545.26560907997
15,32582.898972477764
16,117112.22981854342
17,154964.83069164678
18,33159.9352191994
19,88171.52460150793
20,103509.96316325106
21,52323.48681904562
22,118639.25962814037
23,172438.07438779902
24,14249.653123667464
25,17895.318055267446
26,100446.55760780256
27,234744.35188429523
28,55735.62792649213
29,156517.69755618274
30,139526.50493123382
31,128851.5712528089
32,102475.09579497017
33,45879.18518375233
34,58050.11126945261
35,37106.721520518884
36,188594.48975415435
37,12536.822429603897
38,72875.46222738922
39,180197.55206907075
40,-23516.18297333643
41,31925.552116530947
42,108312.05817393214
43,166638.5001936527
44,104422.29972665105
45,231305.0738011254
46,122978.25112243835
47,51259.213978908025
48,128851.5712528089
49,56260.91783093475
50,128796.32180437818
51,71671.48862047493
52,126655.48132720031
53,123938.9155523805
54,93561.76068490371
55,70722.15942074452
56,155863.9448234737
57,173877.7459132308
58,122770.2241811771
59,149171.63692980446
60,122770.2241811771
61,218397.8425696399
62,149171.63692980446
63,145195.89481095504
64,166812.1430594353
65,191945.1489681285
66,191945.1489681285
67,149171.63692980446
68,118794.48206232768
69,92338.40766922571
70,101364.44078976847
71,156931.1146110762
72,70199.65894634929
73,60626.48636271432
74,74816.08012653608
75,119963.17343353108
76,47966.6110983938
77,74697.90153959394
78,94429.89775134996
79,145202.19566063955
80,23797.32500731945
81,33294.114169526845
82,286857.88064506557
83,188983.27749038208
84,97537.50280375313
85,77414.46731441468
86,77414.46731441468
87,155863.9448234737
88,149171.63692980446
89,129378.56656426843
90,64735.20487318747
91,44545.27747343667
92,115014.45671965182
93,54618.12824910693
94,149171.63692980446
95,164636.21378530748
96,20921.52020124998
97,75757.29193022475
98,38687.82916907873
99,122681.99536457006
100,149171.63692980446
101,122770.2241811771
102,122770.2241811771
103,191945.1489681285
104,155863.9448234737
105,32825.92949932814
106,118794.48206232768
