ID,salary_in_usd
0,60940.56166666667
1,144403.8333333333
2,144403.8333333333
3,71503.24666666666
4,21238.57
5,63309.36583333333
6,321038.0198412698
7,49798.04
8,83214.64183333334
9,284524.9285714286
10,61005.35
11,280850.85
12,78870.39166666666
13,32333.99
14,49173.125
15,59681.986666666664
16,127232.85
17,128614.246031746
18,55881.83
19,119681.61416666668
20,230264.1666666667
21,50085.025
22,66511.23
23,142982.8195735468
24,24312.24
25,24025.96
26,99402.88933333334
27,151313.06404761906
28,21623.69
29,103411.9775
30,103682.2525
31,136977.72222222222
32,105813.26
33,63768.5735
34,68708.725
35,70349.30333333333
36,156736.68809523812
37,53991.59
38,63439.965
39,167825.97619047615
40,46818.9
41,28713.0
42,219472.0
43,177208.31746031746
44,81374.8085
45,227758.06349206352
46,101307.08516666667
47,63742.795666666665
48,136977.72222222222
49,50988.61
50,132137.92857142855
51,43944.850999999995
52,114039.82388888887
53,151707.13547138005
54,117258.45366666661
55,104529.325
56,165246.75921673715
57,144867.14439445597
58,116617.002752522
59,137051.94324189686
60,116617.002752522
61,222133.99408516372
62,137051.94324189686
63,139458.18032467534
64,183937.4866666667
65,165246.75921673715
66,165246.75921673715
67,137051.94324189686
68,109640.2761190476
69,92563.2825
70,114039.82388888887
71,199397.32088744588
72,84238.50416666667
73,76557.198
74,75135.52
75,127834.17656349204
76,77192.22938095237
77,88745.4427936508
78,124158.23000000003
79,146422.01215079363
80,22979.947999999997
81,40490.78
82,178631.99333333335
83,131415.22954545458
84,140801.13938863727
85,62929.95666666665
86,62929.95666666665
87,165246.75921673715
88,137051.94324189686
89,65135.28
90,55259.16
91,50393.19
92,69524.67416666668
93,28211.22
94,137051.94324189686
95,151704.86111111112
96,50938.89
97,74808.60783333333
98,59553.6
99,139458.18032467534
100,137051.94324189686
101,116617.002752522
102,116617.002752522
103,165246.75921673715
104,165246.75921673715
105,59937.82
106,109640.2761190476
