ID,salary_in_usd
0,73535.74
1,114042.83333333334
2,99275.5
3,70246.71333333333
4,24169.53
5,71674.4
6,80163.68
7,42111.1
8,34137.04
9,221653.25
10,53185.962999999996
11,268996.1
12,42908.185
13,39203.355
14,66609.16
15,56398.455
16,88466.5
17,140203.88095238098
18,54398.4
19,42623.5
20,49378.837999999996
21,60172.50800000001
22,68434.28
23,152165.7093260496
24,17616.66
25,46325.6135
26,84580.0
27,198213.03333333333
28,48326.42047619048
29,107869.618
30,108559.055
31,123477.69841269842
32,102507.27
33,60973.477999999996
34,54513.013
35,70074.18547619047
36,152165.7093260496
37,33511.3625
38,69887.018
39,169499.0
40,34938.075999999994
41,21240.76
42,109869.33333333331
43,167878.125
44,94160.83333333331
45,235475.3333333333
46,100452.78863492064
47,66391.493
48,123477.69841269842
49,47798.3
50,112304.81587301589
51,59180.07399999999
52,111485.85936507935
53,155081.2816666667
54,115948.14172222221
55,106425.78149999997
56,160910.17774300612
57,153003.96325438598
58,114324.63525013701
59,136759.1640917628
60,114324.63525013701
61,218904.0
62,136759.1640917628
63,143392.15781746033
64,188648.83095238096
65,211488.3792857144
66,211488.3792857144
67,136759.1640917628
68,107456.40281013431
69,87772.85099999998
70,123553.3385674603
71,198494.12860930737
72,75357.09666666666
73,81520.46
74,88438.14666666668
75,128176.14867063498
76,75629.38055555554
77,89378.52785714285
78,112115.9149404762
79,135565.25576190476
80,45360.392
81,46917.992999999995
82,342666.16666666674
83,338316.040945166
84,145828.1337463768
85,58920.84545238094
86,58920.84545238094
87,160910.17774300612
88,136759.1640917628
89,58646.952000000005
90,59445.02
91,59774.735642857144
92,62382.9
93,51926.397142857146
94,136759.1640917628
95,329494.6904761905
96,53142.21666666666
97,76228.54647619047
98,56489.144
99,150957.06305627705
100,136759.1640917628
101,114324.63525013701
102,114324.63525013701
103,211488.3792857144
104,160910.17774300612
105,60446.364
106,107456.40281013431
